Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2022,I,Sclerophrys channingi,Amphibia,Anura,Bufonidae,Sclerophrys,CZ,CD,,,5,specimens,kg,S,W
2022,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,ES,PA,,,85,derivatives,,P,W
2022,I,Crocodylidae spp.,Reptilia,Crocodylia,Crocodylidae,,CZ,CD,,,3,specimens,kg,S,W
2022,I,Crocodylus spp.,Reptilia,Crocodylia,Crocodylidae,Crocodylus,CZ,CD,,,2,specimens,kg,S,W
2022,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ES,CO,,,100,skins,,T,D
2022,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,MX,CO,,,1000,skins,,T,D
2022,I,Osteolaemus spp.,Reptilia,Crocodylia,Crocodylidae,Osteolaemus,CZ,CD,,,9,specimens,kg,S,W
2022,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,TH,LA,,,1904,specimens,g,S,C
2022,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,TH,LA,,,1904,specimens,ml,S,C
2022,I,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,IQ,AT,,4,,live,,S,C
2022,I,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,IQ,DE,,15,,live,,B,C
2022,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,IQ,CZ,,1,,live,,T,C
2022,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,IQ,ZA,,2,,live,,Z,C
2022,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,IQ,CZ,,6,,live,,Z,C
2022,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,IQ,DE,,6,,live,,Z,C
2022,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,IQ,EG,,8,,live,,Z,C
2022,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,IQ,CZ,,3,,live,,Z,C
2022,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,IQ,EG,,2,,live,,Z,C
2022,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,IQ,ZA,,6,,live,,P,C
2022,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,IQ,ZA,,7,,live,,Z,C
2022,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,MY,LA,,,311,specimens,Number of specimens,S,C
2022,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,IQ,DE,,3,,live,,Z,C
2022,I,Scleropages formosus,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,JP,MY,,,50,live,,T,D
2022,I,Amazona auropalliata,Aves,Psittaciformes,Psittacidae,Amazona,PA,US,,1,,live,,P,I
2022,I,Ara macao,Aves,Psittaciformes,Psittacidae,Ara,IQ,ZA,,2,,live,,B,C
2022,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CH,ME,,,1,live,Number of specimens,P,C
2022,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CO,US,,1,,live,,P,F
2022,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GB,IQ,,,1,live,,P,C
2022,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,IQ,GR,,1,,live,,P,C
2022,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,ME,ZA,,1,,live,Number of specimens,P,D
2022,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,PA,DE,CD,6,,live,,P,U
2022,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,PA,US,,1,,live,,P,I
2022,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,TR,IQ,,,2,live,,P,C
2022,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,ME,HR,,1,,live,Number of specimens,B,D
2022,II,Gypohierax angolensis,Aves,Falconiformes,Accipitridae,Gypohierax,BD,CD,,,30,live,Number of specimens,T,W
2022,II,Gypohierax angolensis,Aves,Falconiformes,Accipitridae,Gypohierax,CN,CD,,,3,skins,Number of specimens,E,W
2022,II,Gyps rueppellii,Aves,Falconiformes,Accipitridae,Gyps,BD,CD,,,25,live,Number of specimens,T,W
2022,II,Necrosyrtes monachus,Aves,Falconiformes,Accipitridae,Necrosyrtes,BD,CD,,,10,live,Number of specimens,T,W
2022,II,Spizaetus africanus,Aves,Falconiformes,Accipitridae,Spizaetus,TH,CD,,,2,live,Number of specimens,T,W
2022,II,Stephanoaetus coronatus,Aves,Falconiformes,Accipitridae,Stephanoaetus,TH,CD,,,4,live,Number of specimens,T,W
2022,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,AM,,,200,bodies,kg,T,C
2022,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,ME,DE,CN,10,,caviar,kg,T,C
2022,II,Huso dauricus x acipenser schrenckii,Actinopteri,Acipenseriformes,Acipenseridae,Huso,ME,DE,CN,110,,caviar,Number of specimens,T,C
2022,II,Huso dauricus x acipenser schrenckii,Actinopteri,Acipenseriformes,Acipenseridae,Huso,MO,FR,CN,3,,caviar,kg,T,C
2022,II,Agaricia fragilis,Anthozoa,Scleractinia,Agariciidae,Agaricia,XX,PA,,,10,derivatives,,S,W
2022,II,Agaricia humilis,Anthozoa,Scleractinia,Agariciidae,Agaricia,XX,PA,,,10,derivatives,,S,W
2022,II,Agaricia tenuifolia,Anthozoa,Scleractinia,Agariciidae,Agaricia,XX,PA,,,306,raw corals,,S,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CZ,ME,US,,4,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,FI,CH,US,1,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,FI,NO,US,6,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,IN,AE,US,48,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,IN,CH,US,100,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,IN,IE,US,8,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,IN,IT,US,1,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,IN,SG,US,12,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,CH,US,19,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,FR,US,69,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,SG,US,3,,leather products (small),Number of specimens,T,C
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,SG,US,3,,leather products (small),Number of specimens,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,PA,CH,US,34,,leather products (small),,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,PA,DE,US,6,,leather products (small),,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,PA,FR,US,2,,leather products (small),,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,PA,US,US,13,,leather products (small),,T,W
2022,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,PA,US,,5,leather products (small),,T,W
2022,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,IN,CH,VE,76,,leather products (small),Number of specimens,T,W
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,AR,CO,,,2500,skins,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,CH,PA,,,19,skins,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,DE,CO,,,3913,skins,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,DE,CO,,,1518,tails,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,GB,CO,,,16,leather products (small),,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,CO,,,300,skins,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,KR,CO,,,300,skins,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,MX,CO,,,77248,skins,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,MX,CO,,,200,skin pieces,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,MX,PA,,,3000,skins,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,QA,CO,,,27,leather products (small),,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CO,CO,,228,leather products (small),,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CO,,,168,leather products (small),,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CO,,,1000,skins,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,VN,CO,,,2060,skins,,T,C
2022,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,XX,CO,,,6875,skins,,T,C
2022,II,Caiman crocodilus yacare,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,PA,BO,,22,leather products (small),,T,W
2022,II,Caiman crocodilus yacare,Reptilia,Crocodylia,Alligatoridae,Caiman,MO,IT,BO,6,,leather products (small),Number of specimens,T,W
2022,II,Caiman crocodilus yacare,Reptilia,Crocodylia,Alligatoridae,Caiman,PA,IT,BO,32,,leather products (small),,T,W
2022,II,Ambystoma mexicanum,Amphibia,Caudata,Ambystomatidae,Ambystoma,PA,US,,10,,live,,T,C
2022,II,Allobates femoralis,Amphibia,Anura,Aromobatidae,Allobates,US,CO,,,5,specimens,,S,W
2022,II,Stephanocoenia intersepta,Anthozoa,Scleractinia,Astrocoeniidae,Stephanocoenia,XX,PA,,,10,derivatives,,S,W
2022,II,Balaeniceps rex,Aves,Ciconiiformes,Balaenicipitidae,Balaeniceps,BD,CD,,,1,live,Number of specimens,E,W
2022,II,Balaeniceps rex,Aves,Ciconiiformes,Balaenicipitidae,Balaeniceps,CN,CD,,,1,skins,Number of specimens,E,W
2022,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,US,CO,,,1000,live,,T,C
2022,II,Calabaria reinhardtii,Reptilia,Serpentes,Boidae,Calabaria,BE,CD,,,27,specimens,kg,S,W
2022,II,Calabaria reinhardtii,Reptilia,Serpentes,Boidae,Calabaria,CZ,CD,,,8,specimens,kg,S,W
2022,II,Eunectes notaeus,Reptilia,Serpentes,Boidae,Eunectes,IN,CH,AR,322,,leather products (small),Number of specimens,T,W
2022,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,CN,CD,,,3,skins,Number of specimens,T,W
2022,II,Cephalophus zebra,Mammalia,Artiodactyla,Bovidae,Cephalophus,IQ,ZA,,20,,live,,Z,C
2022,II,Philantomba monticola,Mammalia,Artiodactyla,Bovidae,Philantomba,BE,CD,,,6,specimens,kg,S,W
2022,II,Catalaphyllia jardinei,Anthozoa,Scleractinia,Caryophylliidae,Catalaphyllia,PA,US,ID,10,,live,,T,W
2022,II,Callithrix jacchus,Mammalia,Primates,Cebidae,Callithrix,IQ,LB,,15,,live,,T,C
2022,II,Allenopithecus nigroviridis,Mammalia,Primates,Cercopithecidae,Allenopithecus,BE,CD,,,2,specimens,kg,S,W
2022,II,Allochrocebus lhoesti,Mammalia,Primates,Cercopithecidae,Allochrocebus,MY,CD,,,9,live,Number of specimens,T,W
2022,II,Allochrocebus lhoesti,Mammalia,Primates,Cercopithecidae,Allochrocebus,TH,CD,,,5,live,Number of specimens,T,W
2022,II,Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,CN,CD,,,3,skins,Number of specimens,T,W
2022,II,Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,TH,CD,,,10,live,Number of specimens,T,W
2022,II,Cercopithecus cephus,Mammalia,Primates,Cercopithecidae,Cercopithecus,BE,CD,,,8,specimens,kg,S,W
2022,II,Cercopithecus cephus,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,,30,live,Number of specimens,T,W
2022,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,BE,CD,,,2,specimens,kg,S,W
2022,II,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,,10,live,Number of specimens,T,W
2022,II,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,BE,CD,,,2,specimens,kg,S,W
2022,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,AE,CD,,,10,live,Number of specimens,T,W
2022,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,CD,,,1,skins,Number of specimens,E,W
